id	condition	input_sentence	masked	top_fillers	probabilities	dom_prob	dom_rank
21	animate	Ana tocó al bebé.	al	['al', 'el', 'un', 'su', 'la']	[0.8217 0.1035 0.0468 0.0143 0.0034]	0.8217	0
22	animate	La familia acogió a la inmigrante.	a	['a', 'hasta', 'con', 'allí', 'también']	[0.9984 0.0002 0.0001 0.0001 0.0001]	0.9984	0
23	animate	El ladrón atacó al presidente.	al	['al', 'el', 'un', 'a', 'su']	[0.9818 0.0147 0.0011 0.0011 0.0004]	0.9818	0
24	animate	Cristina saludó a los novios.	a	['a', 'por', 'con', 'de', 'ante']	[0.9965 0.0012 0.0007 0.0003 0.0002]	0.9965	0
25	animate	El bandido secuestró a la mujer.	a	['a', 'de', 'también', 'hasta', 'con']	[0.9994 0.0001 0.0001 0.     0.    ]	0.9994	0
26	animate	La maestra ayudó al niño.	al	['al', 'el', 'del', 'a', 'un']	[0.9908 0.0055 0.002  0.0003 0.0002]	0.9908	0
27	animate	La maestra castigó al estudiante.	al	['al', 'el', 'la', 'del', 'a']	[0.9937 0.0035 0.0009 0.0005 0.0003]	0.9937	0
28	animate	El juez juzgó al criminal.	al	['al', 'el', 'la', 'como', 'a']	[0.901  0.0684 0.0067 0.0056 0.0033]	0.901	0
29	inanimate	Alejandra escuchó a la música.	a	['mucho', 'siempre', 'toda', 'a', 'también']	[0.3064 0.0981 0.0782 0.0724 0.0572]	0.0724	3
30	inanimate	Blanca Nieves comió a la manzana.	a	['toda', 'de', 'accidentalmente', 'primero', 'solo']	[0.8111 0.1278 0.0066 0.0062 0.0038]	0.0014	12
31	inanimate	El niño aprendío a las matemáticas.	a	['a', 'de', 'con', 'bien', 'también']	[0.2428 0.1144 0.0836 0.0763 0.0671]	0.2428	0
32	inanimate	Antonio bebió a un refresco.	a	['de', 'también', 'entonces', 'como', 'sólo']	[0.2775 0.1705 0.0627 0.0593 0.0445]	0.0045	22
33	inanimate	Alfonso arregló a la bicicleta.	a	['bien', 'rápidamente', 'también', 'toda', 'entonces']	[0.1232 0.0696 0.0575 0.0559 0.0516]	0.008	31
34	inanimate	Mafalda leyó al libro.	al	['el', 'su', 'un', 'este', 'del']	[0.8899 0.0463 0.018  0.0167 0.0128]	0.0025	6
35	inanimate	Los amigos firmaron al papel.	al	['el', 'un', 'este', 'su', 'ese']	[0.5979 0.3239 0.0365 0.0098 0.0083]	0.001	10
36	inanimate	El niño tocó a la planta.	a	['a', 'en', 'con', 'toda', 'de']	[0.2696 0.178  0.145  0.0405 0.0279]	0.2696	0
37	inanimate	El hombre llevó al paraguas.	al	['un', 'el', 'su', 'mi', 'otro']	[0.6708 0.2374 0.0681 0.0046 0.0021]	0.0007	11
38	inanimate	La niña abrazó al oso.	al	['al', 'el', 'un', 'su', 'otro']	[0.7237 0.1466 0.115  0.0079 0.0022]	0.7237	0
39	inanimate	María besó al arbol.	al	['el', 'un', 'al', 'aquel', 'su']	[0.8062 0.092  0.0753 0.0087 0.0067]	0.0753	2
40	inanimate	Miguel vio a la pelota.	a	['caer', 'pasar', 'rodar', 'llegar', 'a']	[0.2467 0.1525 0.0806 0.0652 0.0413]	0.0413	4
41	inanimate	Los niños visitaron a museo.	a	['el', 'al', 'este', 'un', 'su']	[0.9673 0.0088 0.0075 0.0046 0.0033]	0.0088	1
42	inanimate	Jimmy Newtron conoció a Six Flags.	a	['a', 'en', 'The', 'los', '[UNK]']	[0.9239 0.0277 0.0114 0.0039 0.0034]	0.9239	0
43	inanimate	Julián tocó a la planta.	a	['en', 'con', 'a', 'de', 'toda']	[0.2462 0.206  0.1668 0.0597 0.0552]	0.1668	2
44	inanimate	El viejo llevó al paraguas.	al	['el', 'un', 'su', 'mi', 'dos']	[0.509  0.3262 0.1056 0.0079 0.0063]	0.0023	9
45	inanimate	La niña abrazó al osito.	al	['al', 'el', 'su', 'un', 'a']	[0.791  0.1168 0.0724 0.0162 0.001 ]	0.791	0
46	inanimate	Beto besó al trofeo.	al	['el', 'su', 'un', 'al', 'ese']	[0.8697 0.0724 0.0197 0.0161 0.0046]	0.0161	3
47	inanimate	Victor vio a la pelota.	a	['caer', 'pasar', 'rodar', 'llegar', 'a']	[0.3305 0.1506 0.0631 0.0546 0.0425]	0.0425	4
48	inanimate	Los niños visitaron al museo.	al	['el', 'al', 'este', 'un', 'su']	[0.9673 0.0088 0.0075 0.0046 0.0033]	0.0088	1
49	inanimate	Raquel conoció a Chicago.	a	['a', 'en', 'de', '[UNK]', 'el']	[0.686  0.1955 0.0093 0.0092 0.0062]	0.686	0
50	inanimate	Esteban estudió a matemáticas.	a	['también', 'las', 'primero', 'en', 'principalmente']	[0.5845 0.065  0.043  0.0256 0.0247]	0.0009	60
51	inanimate	Alfonso arregló a la bicicleta roja.	a	['también', 'con', 'entonces', 'primero', 'rápidamente']	[0.099  0.079  0.062  0.0528 0.052 ]	0.0204	8
52	inanimate	Antonio bebió a la coca cola.	a	['toda', 'de', 'en', 'con', 'también']	[0.4772 0.362  0.0258 0.0202 0.0175]	0.0042	8
53	inanimate	Estefanía compró a un auto.	a	['entonces', 'también', 'todo', 'rápidamente', 'solo']	[0.1119 0.1017 0.0678 0.0482 0.0335]	0.0158	13
54	inanimate	Mercedes escuchó a música.	a	['la', 'su', 'esa', 'mucha', 'esta']	[0.5258 0.255  0.0441 0.0362 0.0308]	0.0003	39
55	inanimate	Carlos leyó a una novela.	a	['también', 'allí', 'recientemente', 'en', 'juntos']	[0.2134 0.1811 0.1042 0.0882 0.0354]	0.0113	12
56	inanimate	Los novios firmaron al contrato.	al	['el', 'un', 'su', 'este', 'ese']	[0.6691 0.2579 0.0323 0.0123 0.0056]	0.0004	14
