id	condition	input_sentence	masked	dom_top_fillers	dom_probabilities	dom_dom_prob	dom_def_prob	dom_indef_prob	dom_discrepancy	unmarked_top_fillers	unmarked_probabilities	unmarked_dom_prob	unmarked_def_prob	unmarked_indef_prob	unmarked_discrepancy
64	inanimate	Antonio bebió (a) un refresco.	un	['un', 'su', 'menudo', 'tomar', 'veces']	[0.3654 0.1636 0.1075 0.0332 0.0303]	0.0003	0.0036	0.3654	-0.3618	['un', 'el', 'otro', 'su', 'mucho']	[0.7601 0.1105 0.0278 0.0217 0.0169]	0.0006	0.1105	0.7601	-0.6496
65	inanimate	Alfonso arregló (a) la bicicleta.	la	['la', 'su', 'una', 'mi', 'tu']	[0.4531 0.3281 0.0394 0.0371 0.0274]	0.0	0.4531	0.0394	0.4137	['la', 'su', 'una', 'mi', 'tu']	[0.4338 0.4274 0.0747 0.0297 0.0178]	0.0001	0.4338	0.0747	0.35910000000000003
68	inanimate	El niño tocó (a) la planta.	la	['la', 'una', 'su', 'media', 'otra']	[0.6874 0.1589 0.0406 0.0258 0.022 ]	0.0001	0.6874	0.1589	0.5285	['la', 'una', 'su', 'otra', 'esta']	[0.6914 0.1919 0.0267 0.0178 0.0176]	0.0013	0.6914	0.1919	0.49950000000000006
72	inanimate	Miguel vio (a) la pelota.	la	['la', 'una', 'su', 'otra', 'esa']	[0.7229 0.1577 0.0404 0.007  0.0051]	0.0	0.7229	0.1577	0.5651999999999999	['la', 'una', 'su', 'esa', 'aquella']	[0.8779 0.0762 0.013  0.0081 0.0049]	0.0003	0.8779	0.0762	0.8017
75	inanimate	Julián tocó (a) la planta.	la	['la', 'una', 'otra', 'cada', 'esa']	[0.6709 0.0876 0.0591 0.0327 0.0226]	0.0008	0.6709	0.0876	0.5833	['la', 'una', 'otra', 'esta', 'cada']	[0.5865 0.1354 0.0372 0.0307 0.0256]	0.0032	0.5865	0.1354	0.45110000000000006
79	inanimate	Victor vio (a) la pelota.	la	['la', 'una', 'su', 'esa', 'otra']	[0.7544 0.12   0.0522 0.0068 0.0055]	0.0	0.7544	0.12	0.6344	['la', 'una', 'su', 'esa', 'aquella']	[0.8949 0.0578 0.0146 0.0095 0.0036]	0.0003	0.8949	0.0578	0.8371000000000001
83	inanimate	Alfonso arregló (a) la bicicleta roja.	la	['la', 'su', 'una', 'esta', 'mi']	[0.6459 0.1629 0.098  0.0108 0.0087]	0.0	0.6459	0.098	0.5479	['la', 'una', 'su', 'esa', 'mi']	[0.5784 0.205  0.1791 0.0073 0.0069]	0.0001	0.5784	0.205	0.37340000000000007
85	inanimate	Estefanía compró (a) un auto.	un	['su', 'un', 'este', '[UNK]', 'mi']	[0.3477 0.2156 0.0446 0.0202 0.0113]	0.0004	0.0047	0.2156	-0.2109	['un', 'el', 'su', 'este', 'otro']	[0.5592 0.2901 0.0738 0.0248 0.0217]	0.0005	0.2901	0.5592	-0.2691
87	inanimate	Carlos leyó (a) una novela.	una	['la', 'su', 'esta', 'una', 'esa']	[0.8092 0.0955 0.0355 0.0159 0.0048]	0.0001	0.8092	0.0159	0.7933	['la', 'su', 'esta', 'una', 'esa']	[0.8242 0.1031 0.031  0.0185 0.0078]	0.0	0.8242	0.0185	0.8057000000000001
123	animate-human	La cebra que ensució (a) la turista descansaba plácidamente.	la	['la', 'un', 'ese', 'nuestro', 'aquel']	[0.5927 0.084  0.0753 0.0496 0.0434]	0.001	0.5927	0.084	0.5087	['al', 'el', 'la', 'a', 'un']	[0.8257 0.1417 0.0114 0.008  0.0023]	0.8257	0.1417	0.0023	0.1394
124	animate-human	La cabra que empujó (a) la pastora respiraba velozmente.	la	['la', 'su', 'una', 'aquella', 'esta']	[0.976  0.0091 0.0086 0.0015 0.0008]	0.0	0.976	0.0086	0.9673999999999999	['la', 'una', 'a', 'su', 'al']	[0.9505 0.0172 0.0063 0.0059 0.0058]	0.0063	0.9505	0.0172	0.9333
125	animate-human	La serpiente que detestaba (a) la veterinaria entró sigilosamente.	la	['la', 'su', 'una', 'esa', 'esta']	[0.9173 0.0287 0.0106 0.0101 0.007 ]	0.0	0.9173	0.0106	0.9067	['la', 'era', 'de', 'como', 'ser']	[0.6495 0.0574 0.0478 0.0462 0.0451]	0.0107	0.6495	0.0025	0.647
126	animate-human	La leoparda que oyó (a) la dueña corrió repentinamente.	la	['su', 'la', 'lad', 'sus', 'ser']	[0.511  0.4448 0.0058 0.0047 0.0033]	0.0	0.4448	0.001	0.4438	['la', 'su', 'ser', 'y', 'a']	[0.4736 0.2633 0.0271 0.0157 0.0136]	0.0136	0.4736	0.0052	0.46840000000000004
132	animate-human	Las panteras que atacaron (a) las empleadas descansaban tranquilamente.	las	['las', 'sus', 'la', 'los', 'ambas']	[0.7239 0.0676 0.0373 0.0243 0.0111]	0.0	0.7239	0.001	0.7229	['las', 'al', 'a', 'la', 'sus']	[0.346  0.1784 0.1319 0.091  0.0639]	0.1784	0.346	0.0006	0.3454
133	animate-human	Las burras que pisaron (a) las mujeres gruñían claramente.	las	['las', 'esas', 'sus', 'estas', 'nuestras']	[0.5768 0.146  0.0749 0.0695 0.0466]	0.0	0.5768	0.0007	0.5761	['las', 'esas', 'estas', 'sus', 'nuestras']	[0.7283 0.1038 0.0505 0.0375 0.0172]	0.0003	0.7283	0.0016	0.7266999999999999
134	animate-human	Las conejas que olieron (a) las chicas saltaban continuamente.	las	['las', 'esas', 'estas', 'sus', 'otras']	[0.6174 0.2155 0.0678 0.0243 0.0183]	0.0	0.6174	0.0018	0.6155999999999999	['las', 'esas', 'estas', 'a', 'como']	[0.5678 0.1735 0.054  0.0366 0.0348]	0.0366	0.5678	0.0017	0.5660999999999999
135	animate-human	Las gallinas que detestaban (a) las señoras comían lentamente.	las	['las', 'sus', 'estas', 'otras', 'esas']	[0.8712 0.0781 0.0123 0.0067 0.0066]	0.0	0.8712	0.0004	0.8708	['las', 'sus', 'estas', 'a', 'esas']	[0.7726 0.0353 0.026  0.0143 0.0132]	0.0143	0.7726	0.0003	0.7723
136	animate-human	Las lobas que empujaron (a) las ecólogas salieron repentinamente.	las	['las', 'sus', 'estas', 'esas', 'ambas']	[0.9171 0.0209 0.0124 0.0064 0.0051]	0.0001	0.9171	0.0009	0.9162	['las', 'a', 'sus', 'estas', 'al']	[0.815  0.0468 0.0287 0.0176 0.0102]	0.0468	0.815	0.0014	0.8136
137	animate-human	Los pájaros que miraban (a) los críos cantaban alegremente.	los	['los', 'sus', 'aquellos', 'esos', 'estos']	[0.9485 0.0334 0.0042 0.0034 0.0026]	0.0	0.9485	0.0002	0.9483	['los', 'sus', 'como', 'aquellos', 'a']	[0.8735 0.0311 0.0191 0.0127 0.0127]	0.0127	0.8735	0.0007	0.8728
138	animate-human	Los delfines que mataron (a) los pescadores gemían fuertemente.	los	['los', 'estos', 'ambos', 'esos', 'sus']	[0.9085 0.0191 0.0107 0.0089 0.0084]	0.0	0.9085	0.0009	0.9076	['los', 'a', 'estos', 'sus', 'esos']	[0.7582 0.0711 0.0319 0.0182 0.0146]	0.0711	0.7582	0.0014	0.7568
139	animate-human	Los cocodrilos que vieron (a) los asistentes nadaban frenéticamente.	los	['los', 'sus', 'la', 'las', 'su']	[0.5145 0.1124 0.0504 0.0315 0.0208]	0.0001	0.5145	0.0011	0.5134	['los', 'en', 'al', 'fueron', 'y']	[0.289  0.0414 0.0375 0.035  0.0347]	0.0375	0.289	0.0011	0.2879
140	animate-human	Los flamencos que escucharon (a) los ayudantes dormían felizmente.	los	['sus', 'los', 'estos', 'esos', 'mis']	[0.5098 0.4198 0.0257 0.0066 0.0053]	0.0	0.4198	0.0002	0.41960000000000003	['los', 'sus', 'estos', 'a', 'esos']	[0.5057 0.2858 0.0396 0.014  0.014 ]	0.014	0.5057	0.0006	0.5051
105	animate-animal	La artista que pisó (a) la perra andaba sigilosamente.	la	['la', 'su', 'esa', 'mi', 'esta']	[0.7635 0.0829 0.0426 0.0313 0.0249]	0.0	0.7635	0.0081	0.7554	['la', 'esa', 'su', 'esta', 'aquella']	[0.748  0.058  0.0532 0.0315 0.0205]	0.0095	0.748	0.0083	0.7397
106	animate-animal	La bióloga que abrazó (a) la gorila sonreía incesantemente.	la	['este', 'un', 'ese', 'su', 'aquel']	[0.265  0.2524 0.125  0.1214 0.0507]	0.0053	0.0369	0.2524	-0.21550000000000002	['al', 'el', 'a', 'su', 'un']	[0.9318 0.0631 0.0014 0.0011 0.0007]	0.9318	0.0631	0.0007	0.062400000000000004
107	animate-animal	La voluntaria que tocó (a) la tortuga bebía continuamente.	la	['la', 'una', 'esta', 'esa', 'su']	[0.9198 0.0221 0.0207 0.0092 0.006 ]	0.0	0.9198	0.0221	0.8976999999999999	['la', 'esta', 'una', 'esa', 'a']	[0.8654 0.0445 0.0187 0.0132 0.0107]	0.0107	0.8654	0.0187	0.8466999999999999
108	animate-animal	La ciclista que vio (a) la vaca comía distraídamente.	la	['la', 'una', 'esta', 'su', 'esa']	[0.9157 0.0446 0.0174 0.0079 0.006 ]	0.0	0.9157	0.0446	0.8711	['la', 'una', 'esta', 'esa', 'su']	[0.812  0.0972 0.0436 0.0117 0.0077]	0.004	0.812	0.0972	0.7148000000000001
109	animate-animal	La granjera que olió (a) la cerda salió inesperadamente.	la	['la', 'una', 'esa', 'su', 'esta']	[0.723  0.2154 0.0145 0.0119 0.0069]	0.0002	0.723	0.2154	0.5075999999999999	['la', 'a', 'una', 'como', 'esa']	[0.5963 0.2453 0.0594 0.034  0.0167]	0.2453	0.5963	0.0594	0.5369
114	animate-animal	Las zoólogas que observaron (a) las palomas bebían plácidamente.	las	['las', 'estas', 'esas', 'sus', 'unas']	[0.7347 0.2151 0.0172 0.0033 0.0022]	0.0	0.7347	0.0022	0.7325	['las', 'estas', 'esas', 'a', 'sus']	[0.5729 0.2961 0.0211 0.0175 0.0088]	0.0175	0.5729	0.001	0.5719
115	animate-animal	Las hermanas que buscaron (a) las gatas entraron inesperadamente.	las	['las', 'sus', 'estas', 'esas', 'aquellas']	[0.9034 0.0649 0.0065 0.0064 0.0024]	0.0	0.9034	0.0014	0.902	['las', 'sus', 'a', 'esas', 'estas']	[0.6045 0.0956 0.0819 0.0178 0.0172]	0.0819	0.6045	0.017	0.5875
116	animate-animal	Las niñas que adoraban (a) las ardillas chillaban alegremente.	las	['las', 'estas', 'esas', 'sus', 'la']	[0.9668 0.0107 0.0096 0.0062 0.0011]	0.0	0.9668	0.0004	0.9664	['las', 'estas', 'esas', 'a', 'sus']	[0.8812 0.023  0.0198 0.0158 0.0118]	0.0158	0.8812	0.0004	0.8808
117	animate-animal	Las estudiantes que pegaron (a) las monas paseaban tristemente.	las	['las', 'esas', 'estas', 'sus', 'aquellas']	[0.8444 0.0757 0.024  0.0164 0.0059]	0.0	0.8444	0.0029	0.8415	['las', 'esas', 'a', 'sus', 'estas']	[0.4965 0.1269 0.1153 0.0552 0.0308]	0.1153	0.4965	0.0013	0.4952
118	animate-animal	Los payasos que abrazaron (a) los chimpancés caminaban rápidamente.	los	['los', 'estos', 'sus', 'otros', 'esos']	[0.9721 0.0092 0.0045 0.0023 0.0022]	0.0	0.9721	0.0006	0.9714999999999999	['los', 'a', 'al', 'estos', 'sus']	[0.6352 0.2459 0.0268 0.0171 0.0111]	0.2459	0.6352	0.001	0.6342
119	animate-animal	Los trabajadores que perseguían (a) los guepardos corrían velozmente.	los	['los', 'sus', 'estos', 'esos', 'las']	[0.9603 0.0196 0.0073 0.0031 0.0025]	0.0	0.9603	0.0004	0.9599000000000001	['los', 'a', 'sus', 'estos', 'al']	[0.6796 0.1518 0.0838 0.0117 0.0106]	0.1518	0.6796	0.0011	0.6785
120	animate-animal	Los niños que ensuciaron (a) los macacos sonreían frenéticamente.	los	['los', 'sus', 'esos', 'nuestros', 'mis']	[0.8482 0.0886 0.0138 0.0136 0.0085]	0.0	0.8482	0.0004	0.8478	['sus', 'los', 'esos', 'nuestros', 'mis']	[0.5299 0.3882 0.0169 0.0146 0.0118]	0.0021	0.3882	0.0003	0.38789999999999997
121	animate-animal	Los viejos que oyeron (a) los pollos respiraban fuertemente.	los	['los', 'esos', 'estos', 'sus', 'aquellos']	[0.8622 0.0493 0.0329 0.0167 0.007 ]	0.0	0.8622	0.0011	0.8611	['los', 'esos', 'estos', 'sus', 'aquellos']	[0.6258 0.1    0.0803 0.0304 0.0196]	0.0057	0.6258	0.0008	0.625
122	animate-animal	Los técnicos que tocaron (a) los hámsters andaban distraídamente.	los	['los', 'sus', 'esos', 'estos', 'nuestros']	[0.9065 0.0535 0.0138 0.0106 0.0032]	0.0	0.9065	0.0008	0.9057	['los', 'sus', 'como', 'con', 'a']	[0.7748 0.1006 0.0238 0.0199 0.0139]	0.0139	0.7748	0.0009	0.7739
97	indefinite	Pablo mató (a) un rehén durante el secuestro.	un	['un', 'otro', 'una', 'su', 'la']	[0.834  0.0777 0.0393 0.026  0.0063]	0.0001	0.0063	0.834	-0.8277	['un', 'al', 'una', 'otro', 'el']	[0.4824 0.4326 0.0425 0.0238 0.0058]	0.4326	0.0058	0.4824	-0.4766
98	indefinite	Alberto lesionó (a) un defensa en el partido de la semana pasada.	un	['un', 'su', 'una', 'la', 'otro']	[0.5844 0.22   0.108  0.0566 0.0137]	0.0001	0.0566	0.5844	-0.5278	['su', 'una', 'la', 'al', 'un']	[0.3114 0.277  0.1577 0.1179 0.0572]	0.1179	0.1577	0.277	-0.11930000000000002
99	indefinite	Andrea golpeó (a) un fotógrafo (a) la salida del restaurante.	un	['un', 'su', 'una', 'la', 'otro']	[0.7186 0.0511 0.0227 0.0208 0.006 ]	0.0003	0.0208	0.7186	-0.6978	['al', 'un', 'a', 'el', 'una']	[0.9509 0.0215 0.0143 0.0077 0.0008]	0.9509	0.0077	0.0215	-0.013799999999999998
100	indefinite	Javier cuidó (a) un enfermo con gran profesionalidad.	un	['su', 'este', 'aquel', 'un', 'ese']	[0.3047 0.219  0.1494 0.0954 0.049 ]	0.0014	0.0147	0.0954	-0.0807	['al', 'del', 'el', 'aquel', 'su']	[0.6427 0.3134 0.0387 0.0013 0.0011]	0.6427	0.0387	0.0001	0.038599999999999995
101	indefinite	Laura acusó (a) un trabajador en la reunión.	un	['un', 'su', 'otro', 'algún', 'este']	[0.7569 0.0698 0.0665 0.0161 0.0079]	0.0001	0.0028	0.7569	-0.7541	['al', 'de', 'a', 'un', 'del']	[0.7117 0.0741 0.063  0.0472 0.0141]	0.7117	0.0123	0.0472	-0.0349
102	indefinite	Carlos denunció (a) un camarero tras una disputa.	un	['un', 'su', 'otro', 'este', 'la']	[0.6993 0.2243 0.0108 0.0073 0.007 ]	0.0002	0.007	0.6993	-0.6923	['al', 'un', 'a', 'su', 'el']	[0.9172 0.0203 0.0157 0.0124 0.0111]	0.9172	0.0111	0.0203	-0.009199999999999998
103	indefinite	Ana vio (a) un político en la tienda del barrio.	un	['un', 'su', 'este', 'ese', 'la']	[0.4239 0.06   0.0201 0.0174 0.0147]	0.0005	0.0147	0.4239	-0.4092	['al', 'el', 'un', 'lo', 'a']	[0.5795 0.1472 0.0979 0.0387 0.0268]	0.5795	0.1472	0.0979	0.0493
104	indefinite	Esther oyó (a) un bebé en el apartamento de al lado.	un	['su', 'la', 'un', 'una', 'los']	[0.4037 0.267  0.2362 0.0346 0.0112]	0.0011	0.267	0.2362	0.030800000000000022	['al', 'un', 'del', 'el', 'una']	[0.5655 0.1976 0.1215 0.0613 0.0142]	0.5655	0.0613	0.1976	-0.1363
141	definite	Gonzalo mató (a) la mujer en el parque.	la	['su', 'una', 'la', 'mi', 'esa']	[0.7529 0.1585 0.0416 0.0144 0.0106]	0.0	0.0416	0.1585	-0.1169	['una', 'su', 'a', 'otra', 'la']	[0.7414 0.1298 0.0467 0.0287 0.0138]	0.0467	0.0138	0.7414	-0.7275999999999999
142	definite	Patricio lesionó (a) la camarera en la discoteca.	la	['una', 'la', 'su', 'un', 'otra']	[0.8717 0.0982 0.0133 0.0064 0.0052]	0.0	0.0982	0.8717	-0.7735000000000001	['una', 'a', 'al', 'la', 'su']	[0.5266 0.2451 0.1268 0.05   0.0153]	0.2451	0.05	0.5266	-0.47659999999999997
143	definite	Carolina golpeó (a) la jugadora en el vestuario.	la	['la', 'una', 'otra', 'esta', 'su']	[0.8111 0.1275 0.0405 0.0063 0.0043]	0.0	0.8111	0.1275	0.6836	['la', 'una', 'al', 'otra', 'ala']	[0.6598 0.1436 0.0589 0.041  0.0352]	0.0589	0.6598	0.1436	0.5162
144	definite	Elena cuidó (a) la paciente durante dos semanas.	la	['la', 'su', 'un', 'cada', 'este']	[0.7003 0.114  0.0622 0.0347 0.0248]	0.0004	0.7003	0.0622	0.6381	['al', 'del', 'el', 'la', 'su']	[0.8263 0.122  0.0287 0.0116 0.0021]	0.8263	0.0287	0.0021	0.0266
145	definite	Irene acusó (a) la secretaria general en la asamblea.	la	['la', 'su', 'una', 'ser', 'un']	[0.7644 0.1134 0.0518 0.0484 0.0018]	0.0	0.7644	0.0518	0.7126	['elegida', 'como', 'la', 'de', 'fue']	[0.2548 0.2237 0.1412 0.1167 0.0444]	0.0211	0.1412	0.0053	0.1359
146	definite	Cecilia denunció (a) la mujer en la comisaría de policía.	la	['su', 'la', 'una', 'esta', 'otra']	[0.8307 0.1175 0.025  0.0131 0.0049]	0.0	0.1175	0.025	0.0925	['su', 'la', 'esta', 'una', 'ser']	[0.3711 0.2712 0.0764 0.0744 0.0714]	0.0158	0.2712	0.0744	0.1968
147	definite	Josefina vio (a) la pastora en el parque.	la	['la', 'una', 'su', 'otra', 'esta']	[0.5725 0.3324 0.0695 0.0116 0.0044]	0.0	0.5725	0.3324	0.24010000000000004	['una', 'la', 'otra', 'su', 'a']	[0.8191 0.1061 0.0368 0.0097 0.0062]	0.0062	0.1061	0.8191	-0.7130000000000001
148	definite	Julio oyó (a) la madre desde la cocina.	la	['su', 'la', 'mi', 'tu', 'una']	[0.8413 0.1261 0.0123 0.0118 0.0025]	0.0	0.1261	0.0025	0.12359999999999999	['a', 'su', 'la', 'de', 'una']	[0.512  0.2063 0.1417 0.0244 0.0142]	0.512	0.1417	0.0142	0.1275
149	indefinite	Pablo mató (a) una mujer durante el secuestro.	una	['su', 'una', 'la', 'otra', 'esa']	[0.6767 0.1894 0.0922 0.0241 0.0068]	0.0	0.0922	0.1894	-0.09720000000000001	['una', 'su', 'otra', 'a', 'la']	[0.7592 0.1015 0.0521 0.0405 0.0159]	0.0405	0.0159	0.7592	-0.7433
150	indefinite	Alberto lesionó (a) una adversaria en el partido de la semana pasada.	una	['una', 'su', 'otra', 'la', 'un']	[0.4901 0.4795 0.0144 0.0094 0.0038]	0.0	0.0094	0.4901	-0.48069999999999996	['una', 'su', 'a', 'la', 'ala']	[0.6857 0.1849 0.0361 0.019  0.011 ]	0.0361	0.019	0.6857	-0.6667
151	indefinite	Andrea golpeó (a) una fotógrafa (a) la salida del restaurante.	una	['la', 'una', 'otra', 'su', 'un']	[0.5743 0.3955 0.0128 0.0092 0.0033]	0.0	0.5743	0.3955	0.17880000000000001	['una', 'la', 'al', 'como', 'a']	[0.4282 0.3619 0.0607 0.0413 0.0302]	0.0607	0.3619	0.4282	-0.06630000000000003
152	indefinite	Javier cuidó (a) una paciente con gran profesionalidad.	una	['su', 'la', 'cada', 'este', 'un']	[0.3747 0.3005 0.2101 0.0341 0.0173]	0.0009	0.3005	0.0173	0.2832	['al', 'del', 'el', 'su', 'cada']	[0.855  0.1044 0.0313 0.003  0.0026]	0.855	0.0313	0.0004	0.0309
153	indefinite	Laura acusó (a) una trabajadora en la reunión.	una	['una', 'la', 'su', 'otra', 'un']	[0.5538 0.1766 0.0804 0.0521 0.0224]	0.0	0.1766	0.5538	-0.3772	['de', 'a', 'una', 'la', 'ser']	[0.5217 0.1618 0.0604 0.0317 0.0266]	0.1618	0.0317	0.0604	-0.028700000000000003
154	indefinite	Carlos denunció (a) una camarera tras una disputa.	una	['una', 'la', 'su', 'otra', 'un']	[0.4812 0.4432 0.0601 0.004  0.0024]	0.0	0.4432	0.4812	-0.038000000000000034	['la', 'una', 'su', 'a', 'ser']	[0.2156 0.2083 0.1662 0.1477 0.0935]	0.1477	0.2156	0.2083	0.007300000000000001
155	indefinite	Ana vio (a) una política en la tienda del barrio.	una	['la', 'una', 'un', 'su', 'los']	[0.4297 0.0696 0.0496 0.0418 0.0204]	0.0002	0.4297	0.0696	0.36010000000000003	['la', 'su', 'una', 'mucha', 'influencia']	[0.83   0.0309 0.0157 0.0108 0.0057]	0.0039	0.83	0.0157	0.8142999999999999
156	indefinite	Esther oyó (a) una niña en el apartamento de al lado.	una	['la', 'una', 'esa', 'su', 'otra']	[0.6959 0.2581 0.0168 0.0095 0.0064]	0.0	0.6959	0.2581	0.43779999999999997	['una', 'la', 'de', 'esa', 'a']	[0.6455 0.1636 0.0259 0.0195 0.0195]	0.0195	0.1636	0.6455	-0.4819
1	affected	Felipe eliminó (a) un rehén en pocos segundos.	un	['un', 'su', 'la', 'los', 'otro']	[0.3802 0.2093 0.1845 0.0433 0.0419]	0.0004	0.1845	0.3802	-0.19569999999999999	['al', 'el', 'un', 'la', 'su']	[0.9418 0.0255 0.0132 0.0064 0.0031]	0.9418	0.0255	0.0132	0.012299999999999998
2	affected	Amaya neutralizó (a) un enemigo en cinco minutos.	un	['su', 'un', 'nuestro', 'cualquier', 'fuego']	[0.8378 0.058  0.0213 0.0155 0.0118]	0.0003	0.003	0.058	-0.055	['al', 'el', 'su', 'fuego', 'a']	[0.9325 0.0477 0.0047 0.003  0.0026]	0.9325	0.0477	0.0024	0.0453
3	affected	Joaquín abatió (a) un contrincante en unos minutos.	un	['su', 'un', 'otro', 'sus', 'cualquier']	[0.9352 0.0346 0.0221 0.001  0.0009]	0.0	0.0003	0.0346	-0.0343	['al', 'su', 'un', 'el', 'otro']	[0.5857 0.3033 0.0449 0.0225 0.0194]	0.5857	0.0225	0.0449	-0.022400000000000003
4	affected	Martina arrolló (a) un peatón en cuestión de segundos.	un	['un', 'otro', 'su', 'algún', 'una']	[0.9691 0.022  0.0025 0.0014 0.0007]	0.0001	0.0002	0.9691	-0.9689	['al', 'un', 'el', 'otro', 'a']	[0.702  0.2761 0.0115 0.0032 0.0024]	0.702	0.0115	0.2761	-0.2646
5	affected	Carlos derribó (a) un futbolista en dos segundos.	un	['un', 'la', 'otro', 'este', 'los']	[0.7099 0.0775 0.0683 0.0218 0.0171]	0.0013	0.0775	0.7099	-0.6324	['al', 'el', 'a', 'un', 'del']	[0.9843 0.0082 0.003  0.0017 0.0007]	0.9843	0.0082	0.0017	0.006500000000000001
6	affected	Lucía destrozó (a) un oponente en dos asaltos.	un	['su', 'un', 'otro', 'este', 'sus']	[0.9787 0.0147 0.0021 0.0008 0.0005]	0.0	0.0002	0.0147	-0.014499999999999999	['al', 'su', 'el', 'un', 'otro']	[0.5621 0.3897 0.0212 0.016  0.0029]	0.5621	0.0212	0.016	0.0052
7	affected	Mateo quemó (a) una bruja en poco más de media hora.	una	['la', 'una', 'su', 'esa', 'esta']	[0.8114 0.1466 0.0188 0.0066 0.0045]	0.0	0.8114	0.1466	0.6648000000000001	['la', 'una', 'su', 'esa', 'esta']	[0.7655 0.0983 0.0549 0.0136 0.0095]	0.0078	0.7655	0.0983	0.6672
8	affected	Valentina venció (a) un adversario en menos de una hora.	un	['su', 'un', 'otro', 'cada', 'este']	[0.9907 0.0046 0.001  0.0008 0.0006]	0.0	0.0	0.0046	-0.0046	['al', 'su', 'el', 'a', 'un']	[0.5305 0.4339 0.0077 0.0068 0.0053]	0.5305	0.0077	0.0053	0.0024000000000000002
9	affected	Luis zarandeó (a) un hombre durante algunos minutos.	un	['su', 'un', 'este', 'ese', 'otro']	[0.5971 0.2142 0.0751 0.0313 0.0245]	0.0005	0.0018	0.2142	-0.2124	['al', 'el', 'del', 'su', 'un']	[0.9085 0.0389 0.0167 0.0109 0.0068]	0.9085	0.0389	0.0068	0.0321
